,indices,choices,search
30,100730,"TROI: Of course it does. But it's not just a matter of taste. It's the whole experience. TROI: First you spoon the fudge from around the rim... leaving only ice cream in the middle... Then gently spoon the ice cream around the sides, like you're sculpting it... TROI : Relish every bite. Make every one an event. And on the last bite, close your eyes...",ice cream
31,108236,"COMPUTER: Define ""real"" in context, please. TROI: Real... not one of your perfectly synthesized, ingeniously enhanced imitations... real chocolate ice cream, real whipped cream... COMPUTER: This unit is programmed to provide sources of nutritional value. Your request does not fall within current guidelines.",ice cream
32,100722,"RIKER: Sure. I'll catch up with you later. RIKER: Chocolate ice cream. Chocolate fudge. Chocolate chips. You're not depressed, are you? TROI: I'm fine, Commander.",ice cream
33,133533,TALUR: You are an ice-man. DATA: Ice-man? TALUR: Yes. You probably come from a race of people who live in the snow and ice of the Vellorian mountains. Your skin and eye coloration are most likely a result of prolonged exposure to the harsh winter conditions.,ice cream
34,82886,"BEVERLY: I'm just a little dizzy, thank you. I had some trouble coming through. Where's Captain Picard? DATA: He's on ice. BEVERLY: Pardon?",ice cream
35,45241,"KAJADA: Very sure. QUARK: Iced Raktajino. Extra cream. DAX: Thank you, Quark.",ice cream
36,133543,"GARVIN: Not exactly. She said he's lost his memory, but seems to be fine otherwise. Talur thinks he is from a race that lives in the mountains. DATA: I am an ice-man. GARVIN: We'll have to call you something besides Ice-man until your memory returns. What was the word on the container?",ice cream
37,133532,DATA: Then what do you believe I am? TALUR: You are an ice-man. DATA: Ice-man?,ice cream
38,57243,"ALEXANDER: Why are you laughing? CH'TARGH: Or perhaps the son of our illustrious first officer would prefer an Earth beverage. A glass of root beer, with a lump of ""ice cream?"" ALEXANDER: Are you mocking me?",ice cream
39,123186,O'BRIEN: I could use a... cup of coffee. How about you? YOUNG KEIKO: I'll get it. Two coffees... one with cream... O'BRIEN: Black... double sweet...,ice cream
40,49617,WV-SIX: These comet fragments are nothing but huge chunks of ice. The Jem'Hadar will have no trouble finding us. ODO: Not if we become the ice... WV-SIX: What do you mean?,ice cream
41,37479,"ISHKA: Now you can panic. BRUNT: I'll take an Eelwasser. No ice. ZEK: What're you doing here, Brunt?",ice cream
42,37630,"QUARK: ""Female apparel -- a new source of latinum for a new Ferenginar."" QUARK: ""Hypicate cream -- for smooth skin and healthier profits."" QUARK : All these facts and figures... it's too much to remember.",ice cream
43,133554,"GARVIN: I wonder if Skoran could tell us something about this metal of yours... SKORAN: You. Ice-man, where did you find this? DATA: I do not know.",ice cream
44,1662,"KIRA: Sleep well, Bareil. BASHIR: You're sure I can't interest you in some Yigrish cream pie. GARAK: Thank you, Doctor, but I'm quite full.",ice cream
45,50954,"MARTOK: We are not accorded the luxury of choosing the women we fall in love with. Do you think Sirella is anything like the woman I thought I'd marry? She is a mercurial, arrogant, prideful woman who shares my bed far too infrequently for my taste. And yet... I love her deeply. We Klingons often tout our prowess in battle and our desire for honor and glory above all else... but how hollow is the sound of victory without someone to share it with. And Honor gives little comfort to a man alone in his home... and in his heart. QUARK: ... one steak with mushrooms, baked potato, sour cream and chives... O'BRIEN: I should've had that.",ice cream
46,66732,"SISKO: Both. WHATLEY: In that case, I'll keep the champagne on ice. JAKE: You're just in time, Dad.",ice cream
47,133742,DATA: I do not know what I am. But I am not like you. GIA: I know... you're an Ice-man. We talked about that... DATA: No. I am not...,ice cream
48,21200,"VIC : Just a minute. VIC: You wouldn't happen to have an ice pack on you... VIC: Hey, pallie -- whose side are you on?",ice cream
49,114005,"RIKER: You know what to do? O'BRIEN: No problem. I'll have him out of there as smooth as ice. DATA: Sarjenka, wait!",ice cream
50,134829,"PICARD: Fire! PICARD: (continuing; cool as ice) Mister La Forge, are you all right? GEORDI: Yes, sir, and thank you for trusting me. If that thing had managed to scan us, we would have had no hope of saving the Enterprise.",ice cream
51,133626,"DATA: Garvin is correct. You did agree on twenty. SKORAN: Stay out of this, Ice-man. Your memory's not very reliable. GIA: Father! Father, what's wrong?",ice cream
52,116231,"ODAN: When I first met the formidable Doctor Beverly... I thought to myself... ""This woman is ice... through to her bones... "" ODAN: Who would have dreamed... that instead of ice, there is fire... BEVERLY: I can't believe this has happened... in just a week...",ice cream
53,49620,"ODO: With the power off and the runabout in thermal contact with the ice, we won't generate enough of an energy signature for their sensors to read. WV-SIX: We ""become"" the ice. Only a god would think of such a thing. ODO: (ignoring the compliment) Let's hope the Jem'Hadar give up their search before we freeze to death.",ice cream
54,33112,"SISKO: We need medical assistance above the bar in Holosuite four. BASHIR: Acknowledged, Commander. I still have that champagne on ice. BAJORAN MAN & WOMAN: (overlapping one another) Help us! Somebody help us!",ice cream
55,28377,"isn't it?clusters of Vulcan: redspice, half a dozen SISKO minced Humat pods, and a She looks the same... dash of ice salt. redspice, half a dozen: SISKO minced Humat pods, and a She looks the same... dash of ice salt. SEYETIK: Then you reduce it in a Andorian boiler at exactly five hundred degrees Kelvin and pepper to taste. Any questions?",ice cream
56,916,"ALBERT: Ah, there they are. KAY: Voila. A pitcher of plain water instantly becomes a pitcher of ice tea. JULIUS: Incredible.",ice cream
57,42159,WORF: We're still aboard the Breen ship. EZRI: They were chasing me... in an ice cave... it was so cold I could barely breathe... WORF: Shh... it's over now...,ice cream
58,28376,"thing is the broth.  One: DAX liter of clear Rumall stock. A tumbler and a It is the same woman, half of Gremish, two isn't it? clusters of Vulcan redspice, half a dozen SISKO minced Humat pods, and a She looks the same... dash of ice salt. isn't it?clusters of Vulcan: redspice, half a dozen SISKO minced Humat pods, and a She looks the same... dash of ice salt. redspice, half a dozen: SISKO minced Humat pods, and a She looks the same... dash of ice salt.",ice cream
59,54283,"RENHOL: Well... if you'll excuse me I have an Initiate who needs some hand- holding. DAX: I don't know why we came back here when I could be taking you on a tour of the Tenaran ice cliffs. SISKO: You're not taking us anywhere, Dax.",ice cream
60,65933,"SISKO: That's right. QUARK: Morn... dear sweet, Morn... ODO: Poor fool. He actually believed you cared about him.",morn
61,68838,ELIZABETH: I'd love to... QUARK: Morn... QUARK: About that bet. I believe the odds were three to one.,morn
62,66338,ODO: You'd better sit down. QUARK: Morn? ODO: Alive and well.,morn
63,65888,"DAX: I used to have a little crush on him. WORF: Morn? DAX: It was before we met. Besides, he wasn't interested.",morn
64,65871,ODO: I'm sure Morn would be touched to hear you say that. DAX : Morn? ODO: It's just a hologram.,morn
65,13038,KIRA: Jake -- this is no time for games. KIRA : Morn? JAKE: He's going home for his mother's birthday or something. He has an encrypted message for my Dad in one of her presents.,morn
66,53339,"BASHIR: ... seventeen brothers and sisters... ? That's quite a family. DAX: Excuse me, Morn. DAX: It's your turn.",morn
67,67127,QUARK: Just set them on the bar. QUARK: Morn -- no touching. QUARK: You know what this is? Three cases of syrup of squill.,morn
68,37319,"SISKO: I need you to explain something to someone. EZRI: Morn, it's me. Dax. QUARK: I'm truly impressed.",morn
69,66149,HAIN: That's what I'm saying. QUARK: Morn was a prince... HAIN: Yes. But he renounced the throne when he came of age.,morn
70,66147,HAIN: You didn't know? QUARK: Morn was a prince? HAIN: That's what I'm saying.,morn
71,66145,HAIN: He was the crown prince. QUARK: Morn was a prince? HAIN: You didn't know?,morn
72,65961,ODO: His bed. QUARK: Morn slept in mud? ODO: I'm told it's good for the skin...,morn
73,13755,ODO: I hope you find your daughter. QUARK: Morn! We're closed. QUARK: Go home.,morn
74,9807,O'BRIEN: I see you've found someone to play darts with. I set up a board in my quarters so Molly and I could play. BASHIR: Morn's pretty good. O'BRIEN: So's Molly.,morn
75,28593,"DAX: Anyway, so there I was, sitting in Quark's, when Morn just comes over and invites me for dinner... Grid square twelve-delta reads clear of life forms... KIRA: Morn? Are you serious? DAX: Beginning scan of grid square fifteen delta...",morn
76,21425,"KASIDY: Better finish getting dressed. It's almost time. QUARK : I'm telling you, Morn... QUARK: ... there's something going on in Vic's that we don't know about.",morn
77,65924,"QUARK : And wherever he is, I'm sure he'd want to know that his favorite bar still echoed with the laughter of his dear friends. This was his chair... and I think the greatest tribute we could ever pay him would be to make sure that it's never empty. QUARK: Keep it warm. For Morn. KIRA: Every now and then, Quark really surprises me...",morn
78,65968,LARELL: (as if he should recognize the name) Larell. Morn's wife. Ex-wife. QUARK: Morn was married? To you? LARELL: For two wonderful years.,morn
79,26886,QUARK: He did. WORF: Morn? And how does he know? QUARK: He's friends with Admiral Ross. Or maybe Sisko told him while they were having dinner. I don't know how he knows. He just knows.,morn
80,12839,"QUARK: Unbelievable. Amazing. What nerve. QUARK: Morn -- you do have a problem. QUARK: But lucky for you, the solution is simple. You're a grown man. If you don't want to attend your mother's birthday party, you don't have to.",morn
81,10234,"QUARK: I said leave it alone. QUARK: Rom? Maihar'du? Morn? Anybody? ZEK : What's the matter, Quark? Spinning out of control, are we?",morn
82,67721,"ROM: You're respected, too. QUARK: By who... Morn? A few dabo girls? ROM: Brother come here, quick. It's a bid.",morn
83,65898,"BASHIR: It was kind of you to do this, Quark. O'BRIEN: Morn would've appreciated it. QUARK: It's the least I could do.",morn
84,66179,BASHIR: Wouldn't you be better off working in a lab? O'BRIEN: I'm keeping Morn's chair warm. BASHIR: Good man.,morn
85,26889,"WORF: I have to go. QUARK: Good guess, Morn. Today's the day... ODO: Mind if I walk with you, commander?",morn
86,66075,"QUARK: A storage locker... Thank you, computer. You've been very helpful. QUARK: Morn, wherever you are, I love you! QUARK: What do you mean I have to open it in here?",morn
87,66009,"DAX: Probably somebody who got tired of making change with an eyedropper. Are you going to play or not? QUARK: Where could Morn have put it all? DAX: If you find it, are you really going to share it with this woman?",morn
88,65999,"LARELL: And as soon as we find it, we'll take a nice long vacation together. QUARK: Morn would've wanted it that way. LARELL: Of course he would've...",morn
89,65896,"QUARK: This is unbelievable. Look at all these people. If you see anyone emptyhanded sell them a bottle of Yridian Ale. QUARK: Tell them it was Morn's favorite. BASHIR: It was kind of you to do this, Quark.",morn
90,61140,JACK: And now the Pretender finds himself in league with a... a Dark Knight he can't control. O'BRIEN: Weyoun? JACK: Not a bad story. It's epic really. What else can you tell us?,weyoun
91,50020,"WEYOUN: Good evening, Doctor. BASHIR: Weyoun... ? WEYOUN: Welcome home.",weyoun
92,49322,WEYOUN: I'm afraid he couldn't be here. ODO: Weyoun... WEYOUN: Founder... it is an honor to stand in your presence once again.,weyoun
93,50670,"BASHIR: I don't know, but whoever he was, he lived like a pig. KIRA: It was Weyoun. BASHIR: Weyoun? The Vorta?",weyoun
94,50671,KIRA: It was Weyoun. BASHIR: Weyoun? The Vorta? KIRA: I always knew he was a bit of a packrat. I'd see him collecting little bits of junk from all over the station and taking them back to his quarters to--,weyoun
95,50356,"SISKO: Love you too. JAKE : Excuse me, Mister Weyoun. WEYOUN: Please, I prefer just ""Weyoun.""",weyoun
96,50357,"JAKE : Excuse me, Mister Weyoun. WEYOUN: Please, I prefer just ""Weyoun."" JAKE: That's the kind of detail people want to know. Would this be a good time?",weyoun
97,49570,"WEYOUN: (to the Female Shape-shifter, solicitous) Is there anything else I can do for you? FEMALE SHAPE-SHIFTER: Have you located Weyoun Six? WEYOUN: It's only a matter of time.",weyoun
98,56374,"SISKO: On my way. SISKO: What can I do for you, Weyoun? WEYOUN: Captain Sisko... I'll make this brief. we know all about the minefield.",weyoun
99,18563,DUKAT: Leave us. DAMAR: Does Weyoun know you're here? DUKAT: I see he still has you under his thumb.,weyoun
100,61166,"WEYOUN: How nice to see you again. KIRA: Can I give you a word of advice, Weyoun? WEYOUN: By all means.",weyoun
101,27340,WEYOUN: You're not going to die. You're a god. FEMALE SHAPE-SHIFTER: My loyal Weyoun... the only Solid I've ever trusted. WEYOUN: I live only to serve you.,weyoun
102,71980,DUKAT: I hope they told you that my policies toward the Bajorans were most generous this time. SISKO: They told me Weyoun didn't give you much of a choice. DUKAT: Major Kira knows full well that I made every effort to heal the wounds between Cardassia and Bajor. It was my intention from the very beginning to rectify the mistakes of the past and begin a new chapter in our relations.,weyoun
103,71582,"ODO: How do we know these Jem'Hadar can be trusted? They must realize that controlling the Gateway would mean freedom for their people. SISKO: According to Weyoun, they don't know about the Gateway. SISKO: They think this is just a routine search and destroy mission. Find the Jem'Hadar renegades and eliminate them and their base.",weyoun
104,50680,"NOG: Yes, sir. BASHIR: At least Weyoun was sanitary. Who was staying in yours? NOG: Jake. Sisko.",weyoun
105,13147,"WEYOUN: Once the minefield comes down, there'll be more than enough ships to take their place. DUKAT: (nodding impatiently to Weyoun) I understand. One moment. DAMAR: I want your permission to arrest Major Kira.",weyoun
106,55879,"WEYOUN: Those ships won't be here for another five hours. And need I remind you, a lot can happen in that time. DUKAT: Tell me, Weyoun, have you ever been diagnosed as anhedonic? WEYOUN: You think I'm incapable of experiencing joy just because I'm cautious?",weyoun
107,27383,WEYOUN: What's left of it. FEMALE SHAPE-SHIFTER: I wish you hadn't done that. That was Weyoun's last clone. GARAK: I was hoping you'd say that.,weyoun
108,21596,"SISKO: What about Damar? Why do you think he helped you escape? EZRI: I'm not sure, but I'll tell you one thing -- he hates Weyoun. WORF: The Cardassians are a proud people. But the Dominion treats them as second-class citizens.",weyoun
109,49433,"WV-SIX: Of course you would, you're a god. WEYOUN: To think that a Weyoun could be capable of such treachery. DAMAR: I knew there was something wrong with him from the moment we met. He lacked your appetite for cruelty.",weyoun
110,12925,ROM: That's sweet. But I doubt it'll do any good. ROM: I don't think Weyoun cares much for latinum. I'm a dead man. QUARK: Would you please stop upsetting Leeta?,weyoun
111,17590,"SISKO: Look, I'm a little busy... so let's skip the flattery. KILANA: Weyoun's report on you was right. You are direct. I like that. KILANA: So let me ""cut to the chase"" -- I believe that is the correct expression. This is our ship. We want it back.",weyoun
112,13066,"DUKAT: Did you? WEYOUN: (with absolute ""Weyoun"" sincerity) I never doubted you for a moment. DAMAR: Sir, I have new information on enemy fleet movements.",weyoun
113,46565,WEYOUN: I'm glad you find the death of my predecessor so amusing. DAMAR: You misjudge me. I miss him deeply. Here -- let's drink to Weyoun Seven. WEYOUN: When will the prisoners be executed?,weyoun
114,50529,KIRA: A member of the station's Ruling Council? You? ODO: Along with Weyoun and Dukat. Now I'll have a voice in station policy. KIRA: Are you sure this is a good idea?,weyoun
115,49414,"WEYOUN: Absolutely not. I was referring to the Federation -- -- as you're well aware. DAMAR: Enough bickering. (to Weyoun, re: WV- Six) Order him to trigger his implant. WEYOUN: I was getting to that.",weyoun
116,49401,"WV-SIX: Actually, neither of us. WEYOUN: That was Weyoun Five. Our illustrious predecessor was killed a month ago. WV-SIX: And I had the honor of replacing him.",weyoun
117,21619,"DAMAR: It's really quite simple... they expected the war to be over long ago. It's not. And for that, they blame us. Now, if the war doesn't end soon, they'll shift the blame to you. DAMAR: Maybe so, but win or lose, I wouldn't turn my back on Weyoun if I were you. DAMAR: Enter.",weyoun
118,34782,"WEYOUN: Damar, have you seen the latest -- DAMAR: Weyoun, this is Siana. We met last night at the dinner honoring Legate Hovat. WEYOUN: Damar, you and I have things to discuss. Things your ""guest"" doesn't want to hear.",weyoun
119,50290,KIRA: Eventually. ODO: Then I suppose we should be grateful he has Weyoun looking over his shoulder. KIRA: Maybe. Weyoun's a hard one to figure out. I don't really trust him... but I do trust him more than Dukat.,weyoun
120,71916,"DUKAT: Benjamin? Benjamin, can you hear me? SISKO: Dukat... ? DUKAT: Yes. Everything's all right, but don't try to move too quickly. The left side of your body is covered with plasma burns.",dukat
121,69449,"GUL DUKAT: Your son is not here, Commander... SISKO: Dukat... ? GUL DUKAT: Sorry. I didn't mean to startle you.",dukat
122,45884,"MERU: Who? KIRA: Dukat. MERU: Hurt me? (shaking her head, how to explain) No, he hasn't hurt me.",dukat
123,41975,"DAX : To be honest, I'm more comfortable thinking of you as wormhole aliens. But Kira believes you're a lot more than that... Maybe she's right, I don't know. But if you are prophets, and you're listening to me right now... I just want to say -- DAX: Dukat? KIRA: Captain --",dukat
124,41864,"DUKAT: Dorrah tolka bretri pah'rahn, meedor. Dorrah tolka ullkess pah'rahn. DAMAR: Dukat -- DUKAT/PAH-WRAITH: Your concern is touching, but unnecessary.",dukat
125,26176,"DUKAT: What have you been keeping from me, my sweet? What dark secrets... ? WINN: Dukat? DUKAT: Adami, help me --",dukat
126,25626,DUKAT: Don't be afraid... I love you all... KIRA: Dukat. KIRA: Don't you see why he's doing this?,dukat
127,25501,KIRA: Don't. KIRA: Dukat. KIRA: Stay where you are.,dukat
128,25386,DUKAT: I am. KIRA: Dukat... ? KIRA: You -- you're the leader of the Pah-wraith cult?,dukat
129,18636,"WEYOUN: If you think I don't know what you're up to, then you're a bigger fool than Dukat. DAMAR: Dukat? WEYOUN: He used to entertain lady friends, as well.",dukat
130,17873,WEYOUN: Keep your voice down. Our men need to see that we're still allies. Smile. WEYOUN: Dukat. DUKAT: (through his clenched smile) I'm smiling.,dukat
131,11085,DUKAT: I need to find the girl. Tell me where she is. KIRA: Dukat. DUKAT: Tora Ziyal. Where is she?,dukat
132,10968,"KIRA: Dukat, I was able to reactivate the -- KIRA: Dukat... DUKAT: It's nothing. Nothing at all.",dukat
133,6404,"GARAK: For instance, do you remember a Gul named Dukat? TAIN: Dukat... ? GARAK: He's the son of the late Justice Procal.",dukat
134,5319,"SISKO: In my office. SISKO: Dukat. DUKAT: Please, Captain. Show a little respect. You're talking to the head of the Cardassian government.",dukat
135,11091,"ZIYAL: It's really you. Mother said you'd come. KIRA : Dukat, no. ZIYAL: Father, what's wrong?",dukat
136,57330,"DUKAT: He does no such thing. DAMAR: Gul Dukat? DUKAT: Ah, Damar... impeccable timing, as always.",dukat
137,5190,GARAK: And who would that be? DEYOS: Gul Dukat. DUKAT: You might ask... should we fear joining the Dominion? And I answer you... Not in the least. We should embrace the opportunity. The Dominion recognizes us for what we are... the true leaders of the Alpha Quadrant.,dukat
138,72047,"DUKAT: This is growing tiresome. SISKO: Dukat? Dukat! I thought you wanted to talk to me. DUKAT: Yes, but Nerys won't leave well enough alone. She's always interfering, always trying to upset me.",dukat
139,16377,"DAX: Ablative armor has failed. We've got plasma leaks on decks two, three and five, and we've lost our aft torpedo launchers. DUKAT: Dukat to Sisko. SISKO: Go ahead.",dukat
140,12655,"KIRA: You were there, weren't you? GHEMOR: Dukat told you. KIRA: The Cardassian army burned Kiessa to the ground. Seventeen monks were killed.",dukat
141,52186,"SISKO: Let's find out what they want. O'BRIEN: Sir, it's Gul Dukat. SISKO: On a Klingon ship?",dukat
142,11130,DUKAT : Major... KIRA: Dukat. Where's Ziyal? DUKAT: Waiting for me aboard my ship. We'll be leaving for Cardassia shortly.,dukat
143,56397,"WEYOUN: I'm sure they'll do whatever Benjamin Sisko recommends. For my part, I will personally speak with the Founders to secure our end of the bargain. SISKO: What about Gul Dukat? WEYOUN: Oh... he'll be furious... at first. But we've developed a fine working relationship. And I'm sure I can help him see the wisdom of our decision.",dukat
144,55953,ZIYAL: Do you know who I am? CARDASSIAN OFFICER: Gul Dukat's daughter. ZIYAL: That's right. Now I suggest you allow us to deliver this food.,dukat
145,52198,"KIRA: Odo, this is Tora Ziyal. ODO: Gul Dukat's daughter? ZIYAL: That's right.",dukat
146,41856,"DUKAT: I hope I'm not interrupting. WEYOUN: What is it now, Dukat? DUKAT: I found it.",dukat
147,27593,SARAH PROPHET: To a door that can never be opened again. SISKO: And Dukat? Is he dead? SARAH PROPHET: He's where he belongs... with the Pah-wraiths. Your time of trial has ended. You need to rest now.,dukat
148,7687,"SISKO: Then I suggest you get back in there and do your job. SISKO: What's going on, Dukat? DUKAT: We're being hailed by another bird of prey.",dukat
149,45959,MERU: Why? KIRA: Dukat! Get out here -- now! KIRA: Go!,dukat
150,3763,"NOG: A root beer... (off Quark's blank expression) It's an Earth drink... something they serve at the Academy... QUARK: Root beer... This is the end of Ferengi civilization... ODO: May I join you, Lieutenant... ?",civilization
151,120634,"BEVERLY: Doctor Stubbs, these nanites are apparently operating with a new collective intelligence... working together, teaching each other skills... DATA: Doctor, are you suggesting they are becoming a... civilization? STUBBS: Oh really. I'm sorry but this is nonsense. You can't have a civilization of computer chips. They're made in a plant in Dakar Senegal. I've watched the construction.",civilization
152,141125,"BEVERLY: Yes. It also explains their lack of appetite, their sensitivity to light, and their extreme pallor. PICARD: An entire civilization that's terminally ill... is it reversible? BEVERLY: I won't know until I've found the cause... and you don't need to tell me time is running out.",civilization
153,135284,"DATA: Not very much, sir. The only recorded contact with the Delos system was over two hundred years ago. A scout ship reported two inhabited planets, both technologically just on the edge of acquiring space travel. GEORDI: Odd that in two centuries, neither civilization advanced further. TROI: Sir, I find it strange that none of our visitors feel much remorse about the two freighter passengers who perished... yet their barrel of cargo is a source of great anxiety to them.",civilization
154,47823,"KIRA: We already have a solution and the longer we wait the harder it will be to implement it. I'm sorry but this is us or them. We have to destroy it. ODO: You can't just wipe out a civilization... we would be committing mass murder. KIRA: (can't anyone see this but me?) It's like stepping on ants, Odo.",civilization
155,86776,"DATA: It is a highly structured society in which people live by strict codes of honor. For example, what Lutan has done is similar to what certain American Indians once did, called ""counting coup."" That's from an obscure language called French -- PICARD: A language which for centuries on Earth represented civilization, Mister Data. DATA: Indeed?",civilization
156,131683,"PICARD: I see... Well, their food may be somewhat backward but the Klingons are efficient, loyal to their beliefs, and are regulated by a strict code of ethics. PULASKI: True enough. They tend to lean towards a Samurai civilization that is thousands of years old. PICARD: But they are pure in that tradition.",civilization
157,112154,"MADRED: I understand that you are a student of archaeology. Did you know that Cardassia boasts some of the most ancient and splendid ruins anywhere in the galaxy? PICARD: I know that the burial vaults of the First Hebitian civilization are said to be magnificent. MADRED: Apparently when they were first unearthed, two hundred years ago, they were. The burial vaults contained unimaginably beautiful artifacts made of jevonite -- a rare, breathtaking stone. But most of those objects are gone.",civilization
158,140196,"DATA: Ruah Four is an M class planet. Sixty-seven percent of the surface is covered with water. The landmass contains multiple animal species, including a genus of proto-hominids. PICARD: Scan for any evidence of monuments or earth works which might suggest an ancient civilization. DATA: There is nothing to indicate former occupancy by even a primitive culture, sir.",civilization
159,135357,"ROMAS: Your people don't need it -- (indicating the Brekkians) -- they don't need it... our people do! T'JON: If you don't give it to us, you will be party to murder... not only us, but an entire civilization! T'JON: Sorry, I did not mean to insult you. I'm feeling very shaky.",civilization
160,124100,"ADMINISTRATOR: Evacuated to where? Our technology is limited. We're just beginning to launch small missiles... PICARD: A collection of genetic samples, then -- something, anything -- you can't just let this civilization die -- ADMINISTRATOR: Enough! There is a plan in the works. I can't tell you more than that.",civilization
161,61206,NA: BASHIR Any evidence that Kabrel Thank you. used to support an advanced civilization? Maybe they're looking to excavate something valuable -- like an ancient technology. Thank you.used to support an: advanced civilization? Maybe they're looking to excavate something valuable -- like an ancient technology. advanced civilization?: Maybe they're looking to excavate something valuable -- like an ancient technology.,civilization
162,19555,"VASH: Thank you, Doctor. I try. BASHIR: I'd say you've managed quite well for someone who's been out of contact with civilization for over two years. VASH: I'd hardly call the Gamma Quadrant uncivilized. Some of the cultures I've encountered have histories dating back millions of years.",civilization
